,Quarter,Time,Tm,Detail,NYJ,CHI
0,1.0,5:24,Bears,Tarik Cohen 70 yard pass from Mitchell Trubisky (Cody Parkey kick),0,7
1,2.0,11:59,Jets,Jason Myers 42 yard field goal,3,7
2,3.0,7:13,Bears,Anthony Miller 4 yard pass from Mitchell Trubisky (Cody Parkey kick),3,14
3,4.0,14:56,Bears,Cody Parkey 32 yard field goal,3,17
4,4.0,11:10,Jets,Chris Herndon 16 yard pass from Sam Darnold (Jason Myers kick),10,17
5,4.0,7:08,Bears,Jordan Howard 2 yard rush (Cody Parkey kick),10,24
