,Quarter,Time,Tm,Detail,HOU,TAM
0,1.0,7:26,Buccaneers,Thomas Jones 18 yard rush (Martin Gramatica kick),0,7
1,2.0,10:13,Buccaneers,Martin Gramatica 36 yard field goal,0,10
2,2.0,0:33,Buccaneers,Martin Gramatica 23 yard field goal,0,13
3,3.0,9:01,Texans,Kris Brown 38 yard field goal,3,13
4,3.0,7:03,Buccaneers,Martin Gramatica 26 yard field goal,3,16
