,Quarter,Time,Tm,Detail,CHI,NYG
0,1.0,3:29,Giants,Lawrence Tynes 22 yard field goal,0,3
1,3.0,2:48,Giants,Ahmad Bradshaw 3 yard rush (Lawrence Tynes kick),0,10
2,4.0,10:58,Bears,Robbie Gould 40 yard field goal,3,10
3,4.0,4:31,Giants,Brandon Jacobs 2 yard rush (Lawrence Tynes kick),3,17
