,Quarter,Time,Tm,Detail,CHI,ATL
0,2.0,1:54,Bears,Marcus Robinson 34 yard pass from Marty Booker (Paul Edinger kick),7,0
1,2.0,0:00,Bears,Paul Edinger 42 yard field goal,10,0
2,4.0,14:51,Bears,Marty Booker 63 yard pass from Jim Miller (Paul Edinger kick),17,0
3,4.0,8:56,Bears,Brian Urlacher 90 yard defensive fumble return (Paul Edinger kick),24,0
4,4.0,4:10,Falcons,Jay Feely 44 yard field goal,24,3
5,4.0,3:58,Bears,Anthony Thomas 32 yard rush (Paul Edinger kick),31,3
