,Quarter,Tm,Detail,NOR,CLE
0,1.0,Browns,Michael Jackson 8 yard pass from Todd Philcox (Matt Stover kick),0,7
1,1.0,Saints,Eric Martin 10 yard pass from Wade Wilson (Morten Andersen kick),7,7
2,1.0,Browns,Matt Stover 43 yard field goal,7,10
3,3.0,Saints,Morten Andersen 41 yard field goal,10,10
4,3.0,Browns,Michael Jackson 4 yard pass from Vinny Testaverde (Matt Stover kick),10,17
5,4.0,Saints,Morten Andersen 27 yard field goal,13,17
