,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,,Lions,Jason Hanson 48 yard field goal,3,0
1,1.0,,Packers,Dorsey Levens 1 yard pass from Brett Favre (Chris Jacke kick),3,7
2,2.0,,Lions,Barry Sanders 18 yard rush (Jason Hanson kick),10,7
3,2.0,,Packers,Terry Mickens 1 yard pass from Brett Favre (Chris Jacke kick),10,14
4,3.0,,Packers,Terry Mickens 6 yard pass from Brett Favre (Chris Jacke kick),10,21
5,3.0,,Packers,Don Beebe 65 yard pass from Brett Favre (Chris Jacke kick),10,28
6,4.0,,Lions,Brett Perriman 8 yard pass from Don Majkowski (Herman Moore pass from Don Majkowski),18,28
