,Quarter,Tm,Detail,HOU,MIA
0,2.0,Dolphins,Mark Clayton 8 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,2.0,Dolphins,Nat Moore 38 yard pass from Dan Marino (Fuad Reveiz kick),0,14
2,2.0,Dolphins,Tony Nathan 3 yard pass from Dan Marino (Fuad Reveiz kick),0,21
3,3.0,Dolphins,Mark Duper 85 yard pass from Dan Marino (Fuad Reveiz kick),0,28
4,4.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),7,28
