,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Pete Gogolak 40 yard field goal,0,3
1,1.0,Eagles,Sam Baker 45 yard field goal,3,3
2,2.0,Eagles,Sam Baker 32 yard field goal,6,3
3,2.0,Eagles,Ben Hawkins 7 yard pass from Norm Snead (Sam Baker kick),13,3
4,2.0,Giants,Pete Gogolak 33 yard field goal,13,6
5,3.0,Eagles,Sam Baker 38 yard field goal,16,6
6,3.0,Giants,Junior Coffey 1 yard rush (Pete Gogolak kick),16,13
7,4.0,Giants,Scott Eaton 23 yard interception return (Pete Gogolak kick),16,20
8,4.0,Eagles,Ben Hawkins 24 yard pass from Norm Snead (Sam Baker kick),23,20
