,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Larry Morris 3 yard rush (Les Richter kick),0,7
1,1.0,Bears,Bobby Watkins 2 yard rush (George Blanda kick),7,7
2,2.0,Bears,George Blanda 48 yard field goal,10,7
3,2.0,Bears,Harlon Hill 5 yard pass from George Blanda (George Blanda kick),17,7
4,3.0,Rams,Ron Waller 1 yard rush,17,13
5,3.0,Bears,Harlon Hill 86 yard pass from Ed Brown (George Blanda kick),24,13
6,4.0,Bears,Harlon Hill 4 yard pass from Rick Casares (George Blanda kick),31,13
7,4.0,Rams,Tank Younger 1 yard rush (Les Richter kick),31,20
