,Quarter,Tm,Detail,GNB,CLE
0,2.0,Browns,Don Cockroft 20 yard field goal,0,3
1,2.0,Browns,Paul Warfield 30 yard pass from Bill Nelsen (Don Cockroft kick),0,10
2,2.0,Browns,Don Cockroft 45 yard field goal,0,13
3,3.0,Browns,Ernie Kellermann 40 yard interception return (Don Cockroft kick),0,20
4,4.0,Packers,Dave Hampton 29 yard pass from Don Horn (Booth Lusteg kick),7,20
