,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,11:12,Bears,Brandon Marshall 7 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1.0,1:23,Bears,Robbie Gould 39 yard field goal,0,10
2,3.0,11:20,Bears,Robbie Gould 21 yard field goal,0,13
3,4.0,0:30,Lions,Ryan Broyles 12 yard pass from Matthew Stafford (Jason Hanson kick),7,13
