,Quarter,Tm,Detail,BUF,PIT
0,1.0,Steelers,Gary Anderson 38 yard field goal,0,3
1,2.0,Bills,Mitch Frerotte 1 yard pass from Frank Reich (Steve Christie kick),7,3
2,3.0,Bills,James Lofton 17 yard pass from Frank Reich (Steve Christie kick),14,3
3,4.0,Bills,Steve Christie 43 yard field goal,17,3
4,4.0,Bills,Carwell Gardner 1 yard rush (Steve Christie kick),24,3
