,Quarter,Tm,Detail,TAM,MIN
0,2.0,Vikings,Anthony Carter 12 yard pass from Tommy Kramer (Rich Karlis kick),0,7
1,2.0,Vikings,Rich Karlis 20 yard field goal,0,10
2,2.0,Buccaneers,Donald Igwebuike 44 yard field goal,3,10
3,3.0,Vikings,Leo Lewis 28 yard pass from Tommy Kramer (Rich Karlis kick),3,17
