,Quarter,Tm,Detail,RAM,DTX
0,1.0,Rams,Bob Waterfield 32 yard field goal,3,0
1,2.0,Texans,Zollie Toth 4 yard rush,3,6
2,2.0,Rams,Tom Fears 3 yard pass from Norm Van Brocklin (Bob Waterfield kick),10,6
3,3.0,Rams,Bob Waterfield 42 yard field goal,13,6
4,4.0,Rams,Andy Robustelli 14 yard interception return (Bob Waterfield kick),20,6
5,4.0,Rams,Woodley Lewis 65 yard punt return (Bob Waterfield kick),27,6
