,Quarter,Tm,Detail,HOU,GNB
0,1.0,Packers,Al Del Greco 26 yard field goal,0,3
1,1.0,Oilers,Larry Moriarty 3 yard rush (Tony Zendejas kick),7,3
2,2.0,Oilers,Butch Woolfolk 29 yard pass from Warren Moon (Tony Zendejas kick),14,3
3,3.0,Oilers,Tony Zendejas 20 yard field goal,17,3
4,3.0,Oilers,Warren Moon 3 yard rush (Tony Zendejas kick),24,3
5,4.0,Oilers,Drew Hill 44 yard pass from Warren Moon (Tony Zendejas kick),31,3
