,Quarter,Time,Tm,Detail,DEN,RAI
0,2.0,,Raiders,Jeff Jaeger 44 yard field goal,0,3
1,2.0,,Raiders,Jeff Jaeger 29 yard field goal,0,6
2,2.0,,Broncos,Jason Elam 20 yard field goal,3,6
3,3.0,,Raiders,Jeff Jaeger 47 yard field goal,3,9
4,3.0,,Broncos,Jason Elam 21 yard field goal,6,9
5,4.0,,Raiders,Jeff Jaeger 30 yard field goal,6,12
6,4.0,,Raiders,Harvey Williams 5 yard pass from Jeff Hostetler (Harvey Williams run),6,20
7,4.0,,Raiders,Jeff Jaeger 28 yard field goal,6,23
8,4.0,,Broncos,Cedric Tillman 1 yard pass from Hugh Millen (Jason Elam kick),13,23
