,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Gordie Soltau 15 yard field goal,0,3
1,2.0,49ers,Gordie Soltau 1 yard pass from Frankie Albert (Gordie Soltau kick),0,10
2,2.0,Bears,Wilford White 18 yard field goal,3,10
3,2.0,Bears,Bill Wightkin 29 yard pass from Bob Williams (George Blanda kick),10,10
4,3.0,49ers,Hugh McElhenny 17 yard rush (Gordie Soltau kick),10,17
5,4.0,Bears,Bill Wightkin 21 yard pass from Steve Romanik (George Blanda kick),17,17
6,4.0,Bears,George Blanda 49 yard field goal,20,17
