,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Boyd Dowler 6 yard pass from Bart Starr (Paul Hornung kick),7,0
1,2.0,Packers,Paul Hornung 25 yard field goal,10,0
2,2.0,Packers,Henry Jordan 60 yard defensive fumble return (Paul Hornung kick),17,0
3,2.0,Cowboys,Mel Renfro 69 yard punt return (Dick Van Raaphorst kick),17,7
4,2.0,Cowboys,Billy Lothridge 2 yard rush (Dick Van Raaphorst kick),17,14
5,3.0,Packers,Jim Taylor 14 yard pass from Bart Starr (Paul Hornung kick),24,14
6,3.0,Packers,Bart Starr 1 yard rush (Paul Hornung kick),31,14
7,4.0,Packers,Tom Moore 27 yard pass from Bart Starr (Paul Hornung kick),38,14
8,4.0,Packers,Lionel Aldridge 29 yard defensive fumble return (Paul Hornung kick),45,14
9,4.0,Cowboys,Warren Livingston 17 yard defensive fumble return (Dick Van Raaphorst kick),45,21
