,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Rocky Bleier 10 yard rush (Roy Gerela kick),0,7
1,1.0,Steelers,Roy Gerela 37 yard field goal,0,10
2,2.0,Steelers,"Safety, Toews blocked punt out of end zone",0,12
3,2.0,Oilers,Ken Burrough 69 yard pass from John Hadl (Skip Butler kick),7,12
4,2.0,Steelers,Roy Gerela 35 yard field goal,7,15
5,2.0,Oilers,Skip Butler 43 yard field goal,10,15
6,3.0,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),10,22
7,3.0,Steelers,Roy Gerela 18 yard field goal,10,25
8,4.0,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),10,32
9,4.0,Oilers,John Sawyer 2 yard pass from John Hadl,16,32
