,Quarter,Tm,Detail,CIN,NWE
0,1.0,Bengals,Essex Johnson 14 yard rush (Horst Muhlmann kick),7,0
1,2.0,Bengals,Horst Muhlmann 38 yard field goal,10,0
2,2.0,Patriots,Larry Carwell 45 yard blocked field goal return (Mike Walker kick),10,7
3,3.0,Bengals,Jess Phillips 1 yard rush (Horst Muhlmann kick),17,7
4,4.0,Bengals,Lemar Parrish 51 yard punt return (Horst Muhlmann kick),24,7
5,4.0,Bengals,Bob Trumpy 11 yard pass from Ken Anderson (Horst Muhlmann kick),31,7
