,Quarter,Tm,Detail,DAL,BAL
0,2,Cowboys,Calvin Hill 1 yard rush (Toni Fritsch kick),7,0
1,3,Cowboys,Calvin Hill 16 yard pass from Craig Morton (Toni Fritsch kick),14,0
2,4,Cowboys,Ron Sellers 44 yard pass from Craig Morton (Toni Fritsch kick),21,0
