,Quarter,Tm,Detail,GNB,BKN
0,1.0,Packers,Don Hutson 51 yard pass from Tony Canadeo (Don Hutson kick),7,0
1,1.0,Packers,Tony Falkenstein unknown yard rush (Don Hutson kick),14,0
2,2.0,Packers,Don Hutson 23 yard field goal,17,0
3,3.0,Packers,Don Hutson 79 yard pass from Irv Comp (Don Hutson kick),24,0
4,4.0,Packers,Irv Comp 11 yard interception return (Don Hutson kick),31,0
5,4.0,Dodgers,Pug Manders 43 yard rush (Bruiser Kinard kick),31,7
