,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Charlie Smith 5 yard rush (George Blanda kick),0,7
1,1.0,Raiders,Charlie Smith 5 yard rush (George Blanda kick),0,14
2,3.0,Oilers,Hoyle Granger 1 yard rush (Roy Gerela kick),7,14
3,3.0,Oilers,Roy Gerela 28 yard field goal,10,14
4,4.0,Oilers,Jerry LeVias 15 yard pass from Pete Beathard (Roy Gerela kick),17,14
5,4.0,Raiders,Warren Wells 64 yard pass from Daryle Lamonica (George Blanda kick),17,21
