,Quarter,Time,Tm,Detail,GNB,NOR
0,1.0,,Packers,Anthony Morgan 19 yard pass from Brett Favre (Chris Jacke kick),7,0
1,1.0,,Saints,Ray Zellars 2 yard rush (Doug Brien kick),7,7
2,1.0,,Packers,Robert Brooks 17 yard pass from Brett Favre (Chris Jacke kick),14,7
3,2.0,,Packers,Robert Brooks 40 yard pass from Brett Favre (Chris Jacke kick),21,7
4,2.0,,Packers,Antonio Freeman 11 yard pass from Brett Favre (Chris Jacke kick),28,7
5,2.0,,Saints,Torrance Small 4 yard pass from Jim Everett (Doug Brien kick),28,14
6,3.0,,Packers,Chris Jacke 47 yard field goal,31,14
7,3.0,,Packers,Chris Jacke 20 yard field goal,34,14
8,4.0,,Saints,Doug Brien 43 yard field goal,34,17
9,4.0,,Saints,Torrance Small 6 yard pass from Jim Everett (pass failed),34,23
