,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,7:31,Buccaneers,Tom Brady 2 yard rush (Ryan Succop kick),7,0
1,2.0,11:47,Saints,Alvin Kamara 12 yard pass from Drew Brees (Wil Lutz kick),7,7
2,2.0,10:12,Saints,Alvin Kamara 6 yard rush (Wil Lutz kick),7,14
3,2.0,0:46,Saints,Wil Lutz 29 yard field goal,7,17
4,3.0,13:22,Saints,Janoris Jenkins 36 yard interception return (Wil Lutz kick),7,24
5,3.0,12:26,Buccaneers,O.J. Howard 9 yard pass from Tom Brady (Ryan Succop kick),14,24
6,3.0,2:27,Buccaneers,Ryan Succop 38 yard field goal,17,24
7,4.0,11:44,Saints,Emmanuel Sanders 5 yard pass from Drew Brees (Wil Lutz kick),17,31
8,4.0,8:05,Saints,Wil Lutz 21 yard field goal,17,34
9,4.0,2:46,Buccaneers,Mike Evans 2 yard pass from Tom Brady (pass failed),23,34
