,Quarter,Tm,Detail,NYJ,STL
0,1.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),0,7
1,2.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),0,14
2,2.0,Jets,George Nock 3 yard rush (Bobby Howfield kick),7,14
3,2.0,Cardinals,Jim Bakken 19 yard field goal,7,17
4,4.0,Jets,Bobby Howfield 25 yard field goal,10,17
