,Quarter,Tm,Detail,HOU,SFO
0,3.0,49ers,Ricky Patton 3 yard rush (Ray Wersching kick),0,7
1,3.0,49ers,Earl Cooper 3 yard rush (Ray Wersching kick),0,14
2,3.0,49ers,Dwight Clark 2 yard pass from Joe Montana (Ray Wersching kick),0,21
3,4.0,49ers,Mike Wilson 27 yard pass from Guy Benjamin (Ray Wersching kick),0,28
4,4.0,Oilers,Earl Campbell 1 yard rush,6,28
