,Quarter,Time,Tm,Detail,MIA,GNB
0,2.0,10:25,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),0,7
1,2.0,0:46,Packers,Ahman Green 23 yard pass from Brett Favre (Ryan Longwell kick),0,14
2,3.0,9:52,Packers,Ryan Longwell 27 yard field goal,0,17
3,3.0,0:00,Packers,Darren Sharper 89 yard interception return (Ryan Longwell kick),0,24
4,4.0,8:20,Dolphins,Olindo Mare 46 yard field goal,3,24
5,4.0,1:31,Dolphins,Ray Lucas 1 yard rush (Olindo Mare kick),10,24
