,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Al Del Greco 32 yard field goal,3,0
1,2.0,Cowboys,Herschel Walker 11 yard rush (Roger Ruzek kick),3,7
2,2.0,Cowboys,Herschel Walker 11 yard rush (Roger Ruzek kick),3,14
3,2.0,Cardinals,J.T. Smith 2 yard pass from Neil Lomax (Al Del Greco kick),10,14
4,4.0,Cardinals,Al Del Greco 28 yard field goal,13,14
5,4.0,Cowboys,Steve Pelluer 5 yard rush (Roger Ruzek kick),13,21
6,4.0,Cardinals,Al Del Greco 37 yard field goal,16,21
