,Quarter,Tm,Detail,NWE,NOR
0,1.0,Saints,Happy Feller 30 yard field goal,0,3
1,2.0,Patriots,Reggie Rucker 31 yard pass from Jim Plunkett (Mike Walker kick),7,3
2,2.0,Patriots,Reggie Rucker 25 yard pass from Jim Plunkett (Mike Walker kick),14,3
3,3.0,Saints,Danny Abramowicz 26 yard pass from Archie Manning (Happy Feller kick),14,10
4,3.0,Patriots,Mike Walker 36 yard field goal,17,10
