,Quarter,Tm,Detail,BAL,CLE
0,1.0,Colts,Larry Braziel special teams fumble recovery in end zone (Toni Linhart kick),7,0
1,1.0,Colts,Toni Linhart 26 yard field goal,10,0
2,2.0,Browns,Don Cockroft 37 yard field goal,10,3
3,3.0,Browns,Dave Logan 35 yard pass from Brian Sipe (Don Cockroft kick),10,10
4,4.0,Browns,Don Cockroft 28 yard field goal,10,13
