,Quarter,Tm,Detail,WAS,MIN
0,1,Vikings,Alfred Anderson 9 yard rush (Chuck Nelson kick),0,7
1,2,Redskins,Barry Wilburn 100 yard interception return (Ali Haji-Sheikh kick),7,7
2,3,Redskins,Ricky Sanders 46 yard pass from Doug Williams (Ali Haji-Sheikh kick),14,7
3,4,Vikings,Alfred Anderson 1 yard rush (Chuck Nelson kick),14,14
4,4,Vikings,Wade Wilson 1 yard rush (Chuck Nelson kick),14,21
5,4,Vikings,Chuck Nelson 20 yard field goal,14,24
6,4,Redskins,Ali Haji-Sheikh 37 yard field goal,17,24
7,4,Redskins,Ricky Sanders 51 yard pass from Doug Williams (Ali Haji-Sheikh kick),24,24
8,OT,Redskins,Ali Haji-Sheikh 26 yard field goal,27,24
