,Quarter,Tm,Detail,CIN,GNB
0,2.0,Packers,Barty Smith 14 yard pass from Lynn Dickey (Chester Marcol kick),0,7
1,2.0,Bengals,Isaac Curtis 8 yard pass from Ken Anderson (Chris Bahr kick),7,7
2,3.0,Bengals,Tony Davis 2 yard rush (Chris Bahr kick),14,7
3,4.0,Bengals,Chris Bahr 32 yard field goal,17,7
