,Quarter,Tm,Detail,WAS,ATL
0,2.0,Redskins,Mark Moseley 51 yard field goal,3,0
1,3.0,Falcons,Alfred Jenkins 14 yard pass from Steve Bartkowski (Tim Mazzetti kick),3,7
2,4.0,Falcons,Tim Mazzetti 23 yard field goal,3,10
3,4.0,Redskins,Mark Moseley 46 yard field goal,6,10
