,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Rich Karlis 41 yard field goal,3,0
1,1.0,Vikings,Najee Mustafaa 27 yard defensive fumble return (Rich Karlis kick),10,0
2,1.0,Vikings,Steve Jordan 3 yard pass from Wade Wilson (Rich Karlis kick),17,0
3,2.0,Buccaneers,Donald Igwebuike 22 yard field goal,17,3
4,4.0,Buccaneers,James Wilder 5 yard pass from Vinny Testaverde (Donald Igwebuike kick),17,10
5,4.0,Vikings,Herschel Walker 1 yard rush (Rich Karlis kick),24,10
