,Quarter,Tm,Detail,KAN,PIT
0,1.0,Steelers,Lynn Swann 18 yard pass from Terry Bradshaw,0,6
1,1.0,Chiefs,Henry Marshall 48 yard pass from Bill Kenney (Nick Lowery kick),7,6
2,1.0,Chiefs,Nick Lowery 35 yard field goal,10,6
3,2.0,Steelers,Franco Harris 7 yard rush,10,12
4,2.0,Steelers,Franco Harris 1 yard rush (David Trout kick),10,19
5,2.0,Chiefs,Nick Lowery 40 yard field goal,13,19
6,3.0,Chiefs,Carlos Carson 53 yard pass from Bill Kenney (Nick Lowery kick),20,19
7,3.0,Steelers,Greg Hawthorne 1 yard rush (David Trout kick),20,26
8,3.0,Chiefs,Nick Lowery 42 yard field goal,23,26
9,4.0,Chiefs,Ted McKnight 3 yard rush (Nick Lowery kick),30,26
10,4.0,Steelers,Jim Smith 41 yard pass from Terry Bradshaw (David Trout kick),30,33
11,4.0,Chiefs,Tom Howard 65 yard defensive fumble return (Nick Lowery kick),37,33
