,Quarter,Time,Tm,Detail,ATL,NYG
0,1.0,0:34,Falcons,Tevin Coleman 1 yard rush (Matt Bryant kick),7,0
1,2.0,10:06,Giants,Josh Brown 38 yard field goal,7,3
2,2.0,4:46,Falcons,Matt Bryant 42 yard field goal,10,3
3,2.0,3:19,Giants,Odell Beckham Jr. 67 yard pass from Eli Manning (Josh Brown kick),10,10
4,2.0,0:02,Giants,Josh Brown 44 yard field goal,10,13
5,3.0,10:53,Giants,Larry Donnell 10 yard pass from Eli Manning (Josh Brown kick),10,20
6,4.0,12:39,Falcons,Leonard Hankerson 10 yard pass from Matt Ryan (Matt Bryant kick),17,20
7,4.0,1:14,Falcons,Devonta Freeman 2 yard rush (Matt Bryant kick),24,20
