,Quarter,Tm,Detail,NWE,DAL
0,1.0,Cowboys,Michael Downs 27 yard interception return (Rafael Septien kick),0,7
1,1.0,Patriots,Tony Franklin 29 yard field goal,3,7
2,2.0,Cowboys,Rafael Septien 28 yard field goal,3,10
3,3.0,Cowboys,Tony Hill 9 yard pass from Danny White (Rafael Septien kick),3,17
4,4.0,Patriots,Derrick Ramsey 1 yard pass from Tony Eason (Tony Franklin kick),10,17
5,4.0,Patriots,Tony Eason 1 yard rush (Tony Franklin kick),17,17
6,4.0,Cowboys,Rafael Septien 23 yard field goal,17,20
