,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cardinals,Max Boydston 16 yard pass from Jim Root (Pat Summerall kick),0,7
1,2.0,Packers,Fred Cone 34 yard field goal,3,7
2,2.0,Cardinals,Ollie Matson 8 yard rush (Pat Summerall kick),3,14
3,3.0,Packers,Tobin Rote 2 yard rush (Fred Cone kick),10,14
4,3.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),17,14
5,4.0,Cardinals,Ollie Matson 1 yard rush (Pat Summerall kick),17,21
6,4.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),24,21
