,Quarter,Tm,Detail,MIN,DAL
0,1,Vikings,Anthony Carter 11 yard pass from Tommy Kramer (Chuck Nelson kick),7,0
1,1,Vikings,Tommy Kramer 1 yard rush (Chuck Nelson kick),14,0
2,2,Cowboys,Danny White 1 yard rush (Roger Ruzek kick),14,7
3,2,Cowboys,Herschel Walker 3 yard pass from Danny White (Roger Ruzek kick),14,14
4,2,Vikings,Anthony Carter 37 yard pass from Tommy Kramer (Chuck Nelson kick),21,14
5,3,Vikings,Darrin Nelson 52 yard rush (Chuck Nelson kick),28,14
6,3,Cowboys,Roger Ruzek 38 yard field goal,28,17
7,3,Cowboys,Mike Renfro 8 yard pass from Danny White (Roger Ruzek kick),28,24
8,4,Vikings,Chuck Nelson 33 yard field goal,31,24
9,4,Vikings,Rick Fenney 1 yard rush (Chuck Nelson kick),38,24
10,4,Cowboys,Mike Renfro 14 yard pass from Danny White (Roger Ruzek kick),38,31
11,4,Cowboys,Mike Renfro 18 yard pass from Danny White (Roger Ruzek kick),38,38
12,OT,Vikings,Darrin Nelson 24 yard rush,44,38
