,Quarter,Time,Tm,Detail,NWE,CHI
0,1.0,6:06,Bears,Paul Edinger 24 yard field goal,0,3
1,2.0,13:10,Patriots,Terry Glenn 12 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,3
2,2.0,5:31,Patriots,Adam Vinatieri 40 yard field goal,10,3
3,2.0,0:10,Bears,Eddie Kennison 9 yard pass from Shane Matthews (Paul Edinger kick),10,10
4,3.0,10:52,Bears,James Allen 16 yard rush (Paul Edinger kick),10,17
5,4.0,14:56,Bears,James Allen 6 yard pass from Shane Matthews (Paul Edinger kick),10,24
6,4.0,10:53,Patriots,Troy Brown 7 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,24
