,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Tank Younger 2 yard rush (Les Richter kick),0,7
1,1.0,Bears,Chick Jagade 6 yard rush (George Blanda kick),7,7
2,2.0,Bears,Harlon Hill 9 yard pass from George Blanda (George Blanda kick),14,7
3,2.0,Rams,Dan Towler 7 yard rush (Les Richter kick),14,14
4,2.0,Bears,Bill McColl 3 yard pass from George Blanda (George Blanda kick),21,14
5,2.0,Rams,Tom Fears 10 yard pass from Norm Van Brocklin (Les Richter kick),21,21
6,3.0,Bears,George Blanda 31 yard field goal,24,21
7,3.0,Rams,Tank Younger 1 yard rush (Les Richter kick),24,28
8,3.0,Rams,Dan Towler 15 yard rush (Les Richter kick),24,35
9,4.0,Bears,Billy Stone 14 yard pass from George Blanda (George Blanda kick),31,35
10,4.0,Rams,Dan Towler 2 yard rush (Les Richter kick),31,42
11,4.0,Bears,Jim Dooley 17 yard pass from George Blanda (George Blanda kick),38,42
