,Quarter,Tm,Detail,PIT,STL
0,1.0,Steelers,Mike Clark 47 yard field goal,3,0
1,1.0,Cardinals,Jim Bakken 26 yard field goal,3,3
2,3.0,Cardinals,Jim Bakken 15 yard field goal,3,6
