,Quarter,Tm,Detail,BUF,BOS
0,2.0,Bulldogs,George Kenneally unknown yard pass from Jack Ernst (George Kenneally pass from Jack Ernst),0,7
1,2.0,Bisons,Swede Hagberg 55 yard pass from Chuck Weimer,6,7
2,2.0,Bulldogs,Tony Latone unknown yard rush (Jack Ernst kick),6,14
