,Quarter,Time,Tm,Detail,BAL,CAR
0,1.0,,Panthers,John Kasay 29 yard field goal,0,3
1,1.0,,Ravens,Michael Jackson 23 yard pass from Vinny Testaverde (Matt Stover kick),7,3
2,2.0,,Panthers,Anthony Johnson 2 yard rush (John Kasay kick),7,10
3,2.0,,Ravens,Matt Stover 37 yard field goal,10,10
4,2.0,,Ravens,Matt Stover 46 yard field goal,13,10
5,3.0,,Panthers,Mark Carrier 6 yard pass from Kerry Collins (John Kasay kick),13,17
6,3.0,,Panthers,John Kasay 44 yard field goal,13,20
7,4.0,,Ravens,Matt Stover 25 yard field goal,16,20
8,4.0,,Panthers,Scott Greene 1 yard pass from Kerry Collins (John Kasay kick),16,27
