,Quarter,Tm,Detail,SDG,SEA
0,1.0,Chargers,Ronnie Harmon 11 yard pass from Billy Joe Tolliver (John Carney kick),7,0
1,2.0,Seahawks,John Williams 21 yard rush (Norm Johnson kick),7,7
2,2.0,Chargers,Quinn Early 45 yard pass from Billy Joe Tolliver (John Carney kick),14,7
3,3.0,Chargers,John Carney 20 yard field goal,17,7
4,3.0,Chargers,Nate Lewis 63 yard punt return (John Carney kick),24,7
5,3.0,Chargers,Les Miller defensive fumble recovery in end zone (John Carney kick),31,7
6,4.0,Seahawks,Brian Blades 18 yard pass from Dave Krieg (Norm Johnson kick),31,14
