,Quarter,Tm,Detail,NYG,SFO
0,1.0,Giants,Marsh White 1 yard rush (George Hunt kick),7,0
1,2.0,Giants,Doug Kotar 14 yard rush,13,0
2,2.0,49ers,Sammy Johnson 26 yard rush (Steve Mike-Mayer kick),13,7
3,2.0,49ers,Steve Mike-Mayer 40 yard field goal,13,10
4,3.0,Giants,Ray Rhodes 30 yard pass from Craig Morton (George Hunt kick),20,10
5,3.0,49ers,Larry Schreiber 1 yard rush,20,16
6,4.0,49ers,Larry Schreiber 18 yard pass from Tom Owen (Steve Mike-Mayer kick),20,23
7,4.0,Giants,Larry Watkins 1 yard rush,26,23
