,Quarter,Tm,Detail,CHI,DAL
0,2.0,Cowboys,Lin Elliott 21 yard field goal,0,3
1,3.0,Cowboys,Emmitt Smith 31 yard rush (Lin Elliott kick),0,10
2,3.0,Cowboys,Russell Maryland 26 yard defensive fumble return (Lin Elliott kick),0,17
3,3.0,Cowboys,Curvin Richards 3 yard rush (Lin Elliott kick),0,24
4,3.0,Cowboys,Lin Elliott 34 yard field goal,0,27
5,4.0,Bears,Mark Green 6 yard rush (Kevin Butler kick),7,27
6,4.0,Bears,Chris Zorich 42 yard defensive fumble return (Kevin Butler kick),14,27
