,Quarter,Tm,Detail,OOR,COL
0,1.0,Indians,Pete Calac unknown yard rush,6,0
1,3.0,Indians,interception in end zone,12,0
2,3.0,Indians,Pete Calac 15 yard rush,18,0
3,4.0,Panhandles,Lee Snoots unknown yard rush,18,6
