,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Sam Baker 23 yard field goal,3,0
1,2.0,Cardinals,Jim Bakken 9 yard field goal,3,3
2,2.0,Eagles,Timmy Brown 23 yard rush (Sam Baker kick),10,3
3,3.0,Cardinals,Jim Bakken 47 yard field goal,10,6
4,4.0,Cardinals,Charley Johnson 1 yard rush (Jim Bakken kick),10,13
5,4.0,Eagles,Sam Baker 33 yard field goal,13,13
6,4.0,Cardinals,Jim Bakken 27 yard field goal,13,16
