,Quarter,Tm,Detail,RAM,CRD
0,4.0,Rams,Johnny Drake 2 yard rush (Ed Goddard kick),7,0
1,3.0,Cardinals,Bill May 13 yard field goal,7,13
2,3.0,Cardinals,Bill May 29 yard field goal,7,10
3,1.0,Cardinals,Doug Russell 62 yard punt return (Bill May kick),7,7
