,Quarter,Tm,Detail,DAL,GNB
0,1.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),0,7
1,1.0,Cowboys,Robert Newhouse 14 yard rush (Rafael Septien kick),7,7
2,2.0,Cowboys,Tony Dorsett 9 yard rush (Rafael Septien kick),14,7
3,2.0,Cowboys,Billy Joe DuPree 8 yard pass from Roger Staubach (Rafael Septien kick),21,7
4,3.0,Cowboys,Robert Newhouse 3 yard rush (Rafael Septien kick),28,7
5,3.0,Cowboys,Billy Joe DuPree 18 yard pass from Roger Staubach (Rafael Septien kick),35,7
6,4.0,Cowboys,Tony Dorsett 33 yard rush (Rafael Septien kick),42,7
7,4.0,Packers,Steve Odom 18 yard pass from Bobby Douglass (Chester Marcol kick),42,14
