,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Mike Clark 42 yard field goal,3,0
1,1.0,Redskins,Jerry Smith 20 yard pass from Sonny Jurgensen (Curt Knight kick),3,7
2,2.0,Cowboys,Duane Thomas 4 yard rush (Mike Clark kick),10,7
3,2.0,Cowboys,Lance Rentzel 27 yard pass from Craig Morton (Mike Clark kick),17,7
4,2.0,Cowboys,Walt Garrison 3 yard pass from Craig Morton (Mike Clark kick),24,7
5,3.0,Redskins,Larry Brown 21 yard pass from Sonny Jurgensen (Curt Knight kick),24,14
6,3.0,Cowboys,Mark Washington 100 yard kickoff return (Mike Clark kick),31,14
7,3.0,Redskins,Jon Henderson 12 yard pass from Sonny Jurgensen (Curt Knight kick),31,21
8,3.0,Cowboys,Duane Thomas 35 yard rush (Mike Clark kick),38,21
9,4.0,Cowboys,Duane Thomas 2 yard rush (Mike Clark kick),45,21
