,Quarter,Tm,Detail,CLE,PHI
0,1.0,Eagles,Sam Baker 37 yard field goal,0,3
1,1.0,Eagles,Sam Baker 38 yard field goal,0,6
2,2.0,Browns,Jim Houston 10 yard pass from Jim Ninowski (Lou Groza kick),7,6
3,2.0,Eagles,Jack Concannon 9 yard rush (Sam Baker kick),7,13
4,2.0,Eagles,Tom Woodeshick 44 yard pass from Jack Concannon (Sam Baker kick),7,20
5,2.0,Eagles,Al Nelson 100 yard field goal return (Sam Baker kick),7,27
6,3.0,Browns,Ross Fichtner 39 yard interception return (Lou Groza kick),14,27
7,4.0,Browns,Gary Collins 10 yard pass from Frank Ryan (Lou Groza kick),21,27
8,4.0,Eagles,Sam Baker 42 yard field goal,21,30
9,4.0,Eagles,Sam Baker 30 yard field goal,21,33
