,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,10:22,Chargers,Mike Dumas 56 yard interception return (John Carney kick),7,0
1,1.0,1:19,Chargers,John Carney 54 yard field goal,10,0
2,2.0,10:12,Chiefs,Sylvester Morris 36 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,7
3,2.0,0:47,Chiefs,Tony Richardson 1 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,14
4,3.0,7:26,Chiefs,Sylvester Morris 9 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,21
5,3.0,4:38,Chiefs,Troy Drayton 2 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,28
6,4.0,12:26,Chiefs,Sylvester Morris 20 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,35
7,4.0,1:57,Chiefs,Frank Moreau 1 yard rush (Pete Stoyanovich kick),10,42
