,Quarter,Tm,Detail,NYG,GNB
0,1.0,Giants,Sam Huff blocked punt recovery in end zone (Ben Agajanian kick),7,0
1,1.0,Packers,Billy Howton 77 yard pass from Bart Starr (Fred Cone kick),7,7
2,2.0,Giants,Ben Agajanian 12 yard field goal,10,7
3,2.0,Giants,Frank Gifford 3 yard rush (Ben Agajanian kick),17,7
4,2.0,Packers,Fred Cone 39 yard field goal,17,10
5,2.0,Giants,Ken MacAfee 3 yard pass from Charlie Conerly (Ben Agajanian kick),24,10
6,3.0,Packers,Don McIlhenny 40 yard rush (Fred Cone kick),24,17
7,4.0,Giants,Emlen Tunnell 52 yard interception return (Ben Agajanian kick),31,17
