,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Norm Johnson 34 yard field goal,0,3
1,2.0,Seahawks,John Williams 12 yard pass from Dave Krieg (Norm Johnson kick),0,10
2,2.0,Chargers,Vince Abbott 33 yard field goal,3,10
3,2.0,Seahawks,Curt Warner 5 yard rush (Norm Johnson kick),3,17
4,3.0,Seahawks,Dave Krieg 11 yard rush (Norm Johnson kick),3,24
5,3.0,Seahawks,Norm Johnson 22 yard field goal,3,27
6,4.0,Seahawks,Steve Largent 5 yard pass from Dave Krieg (Norm Johnson kick),3,34
