,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,10:57,Bengals,Doug Pelfrey 27 yard field goal,3,0
1,1.0,1:51,Bengals,Doug Pelfrey 26 yard field goal,6,0
2,2.0,13:46,Browns,Phil Dawson 4 yard rush (Phil Dawson kick),6,7
3,2.0,12:04,Browns,Terry Kirby 1 yard rush (Phil Dawson kick),6,14
4,2.0,1:08,Bengals,Carl Pickens 5 yard pass from Akili Smith (pass failed),12,14
5,4.0,14:09,Browns,Phil Dawson 33 yard field goal,12,17
6,4.0,0:05,Bengals,Carl Pickens 2 yard pass from Akili Smith (run failed),18,17
