,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Cris Carter 30 yard pass from Rich Gannon (Fuad Reveiz kick),0,7
1,1.0,Buccaneers,Ken Willis 40 yard field goal,3,7
2,2.0,Buccaneers,Courtney Hawkins 28 yard pass from Steve DeBerg (Ken Willis kick),10,7
3,2.0,Buccaneers,Ken Willis 29 yard field goal,13,7
4,3.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),13,14
5,3.0,Vikings,Cris Carter 29 yard pass from Sean Salisbury (Fuad Reveiz kick),13,21
6,4.0,Vikings,Fuad Reveiz 36 yard field goal,13,24
7,4.0,Vikings,"Safety, DeBerg stepped out of end zone",13,26
8,4.0,Buccaneers,Lawrence Dawsey 14 yard pass from Steve DeBerg (Ken Willis kick),20,26
