,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Tony Collins 39 yard rush (John Smith kick),0,7
1,1.0,Patriots,Tony Collins 7 yard rush,0,13
2,2.0,Jets,Dwayne Crutchfield 1 yard rush (Pat Leahy kick),7,13
3,2.0,Patriots,John Smith 43 yard field goal,7,16
4,2.0,Jets,Wesley Walker 13 yard pass from Richard Todd,13,16
5,3.0,Patriots,Tony Collins 23 yard rush (John Smith kick),13,23
