,Quarter,Tm,Detail,GNB,MIL
0,1,Packers,Cub Buck 30 yard field goal,3,0
1,2,Badgers,Dinger Doane unknown yard rush (Ben Winkelman kick),3,7
2,3,Packers,Curly Lambeau 41 yard pass from Charlie Mathys (Cub Buck kick),10,7
