,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Jim Jensen 25 yard pass from Craig Morton (Jim Turner kick),0,7
1,2.0,Broncos,Rick Upchurch 5 yard pass from Craig Morton (Jim Turner kick),0,14
2,3.0,Broncos,Rick Upchurch 32 yard pass from Jon Keyworth,0,20
3,3.0,Chiefs,Jan Stenerud 27 yard field goal,3,20
