,Quarter,Tm,Detail,STL,CLE
0,1.0,Browns,Ernie Green 23 yard pass from Frank Ryan (Lou Groza kick),0,7
1,1.0,Cardinals,Roy Shivers 94 yard kickoff return (Jim Bakken kick),7,7
2,1.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),7,14
3,2.0,Cardinals,Sonny Randle 33 yard pass from Charley Johnson (Jim Bakken kick),14,14
4,2.0,Browns,Leroy Kelly 6 yard rush (Lou Groza kick),14,21
5,3.0,Browns,Leroy Kelly 57 yard rush (Lou Groza kick),14,28
6,3.0,Cardinals,Jackie Smith 58 yard pass from Charley Johnson (Jim Bakken kick),21,28
7,3.0,Cardinals,Billy Gambrell 9 yard pass from Charley Johnson (Jim Bakken kick),28,28
8,4.0,Cardinals,Prentice Gautt 23 yard rush,34,28
