,Quarter,Time,Tm,Detail,SEA,PHI
0,1.0,13:48,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),7,0
1,1.0,11:56,Eagles,Correll Buckhalter 30 yard rush (David Akers kick),7,7
2,1.0,7:21,Seahawks,Bobby Engram 12 yard pass from Matt Hasselbeck (Josh Brown kick),14,7
3,1.0,5:14,Eagles,David Akers 31 yard field goal,14,10
4,2.0,11:16,Seahawks,Nate Burleson 43 yard pass from Matt Hasselbeck (Josh Brown kick),21,10
5,2.0,9:06,Eagles,Kevin Curtis 24 yard pass from A.J. Feeley (David Akers kick),21,17
6,3.0,12:42,Eagles,Brian Westbrook 29 yard rush (David Akers kick),21,24
7,3.0,9:13,Seahawks,Maurice Morris 45 yard rush (Josh Brown kick),28,24
